Titulo,Peso_GB
The Wonderful 101 Remastered,"6,49"
Tony Hawks Pro Skater 1+2,"12,26"
Truck Driver,"2,4"
Truck Driving Simulator,"0,77"
Truck Simulator 2,"0,53"
Ultimate Custom Night,"0,44"
Undertale,"0,24"
WarioWare Get It Together,"1,52"
WarioWare Move It,"1,31"
What the Golf,"0,2"
Wolfenstein II The New Colossus,"22,08"
XCOM 2 Collection,"20,37"
Xenoblade Chronicles 2,"14,91"
Yakuza Kiwami,"22,92"
Yomawari The Long Night Collection,"1,43"
Yoshi’s Crafted World,"5,6"
Zombie Army 4 Dead War,"7,16"
